_id,unique_id,competitor_name,product_name,brand,regular_price,selling_price,currency,breadcrumb,pdp_url,product_description,rating,review,instock,retail_limit
66bef411a9267700a3bd018c,1241229,fressnapf,GOURMET Crystal Soup 32x40g Huhn,GOURMET,23.99,23.99,EUR,Heimat > Katze > Katzenfutter > Nassfutter > GOURMET Crystal Soup 32x40g Huhn,https://www.fressnapf.at/p/gourmet-crystal-soup-32x40g-huhn-1241229/,"GOURMET\nArt.Nr.: 1241229\nGourmet Crystal Soup regt die Sinne Ihrer Katze an – mit hochwertigen Zutaten in einer raffinierten Brühe.\nGourmet Crystal Soup bietet eine Vielzahl köstlicher Brühen für ein einzigartiges Genusserlebnis, das Ihre Katze lieben wird.\nVoller naturbelassener Zutaten, wie echte erkennbare Stückchen aus Huhn, Fisch oder Meeresfrüchten, ist Gourmet Crystal Soup ein köstliches Geschmackserlebnis, das Ihre Katze genüsslich schnurren lässt. Serviert in einer köstlichen Brühe.\nDie Vorteile im Überblick:\nErgänzungsfutter\nAus hochwertigen Zutaten hergestellt\nBrühen in vielen delikaten Geschmacksrichtungen\nIm praktischen Frischebeutel immer frisch servierbar\nErgänzungsfuttermittel für ausgewachsene Katzen. Weitere Informationen erhalten Sie hier: www.purina.de\nInverkehrbringer\nNestlé Purina Petcare Deutschland GmbH, Albert-Latz-Str. 6, 53879 Euskirchen",4.63,2921,True,10x
66bef411a9267700a3bd018d,1241904,fressnapf,Biokat's Diamond Care fresh 10 l,Biokat's,9.99,9.99,EUR,Heimat > Katze > Hygiene & Pflege > Katzenstreu > Biokat's Diamond Care fresh 10 l,https://www.fressnapf.at/p/biokats-diamond-care-fresh-10-l-1241904/,"Biokat's\nArt.Nr.: 1241904\nFeine Katzenstreu mit Babypuderduft mit einem Booster für hochwirksame Geruchsbindung & Saugfähigkeit.\nDas Biokat's Diamond Care fresh besitzt eine hochwirksame Geruchbindung und Saugfähigkeit.\nAktivkohle als Geruchsbindungsmittel\nDie Aktivkohle ist ein hochporöser Kohlenstoffkörper mit einer großen inneren Oberfläche. Der Ursprung dieser Aktivkohle sind Kokosnussschalen und ein nachwachsender Rohstoff. Durch die ‚van-der-Waals‘schen Kräfte‘ werden Geruchsstoffe an der Aktivkohle rein physikalisch gebunden. Aktivkohle dient schon sehr lange als Geruchsfilter, z. B. in Küchen in Abzugshauben oder Kühlschränken. Aber auch in Schuheinlagen oder bei Filteranlagen für den KFZ-Innenraum. Klimageräte funktionieren ebenfalls mit einer Aktivkohlestufe, um Außengerüche (Abgase, Schwefeldioxid etc.) aus der Zuluft zu entfernen.\nAloe Vera als sanfte Pflege\nAloe Vera, die im Diamond Care eingesetzt wird und fü eine sanfte Pflege sorgt wird ausschließlich\naus den Blättern der Aloe barbadensis Miller gewonnen. Direkt nach der Ernte gelangen die reifen Aloe Vera Blätter von den Plantagen in die Manufaktur, so dass die wertvollen Bestandteile des Rohstoffes voll erhalten bleiben. In der Manufaktur werden die Aloe Vera Blätter mit Wasser gewaschen und anschließend per Hand geschält. Die Blattfilets werden im weiteren Verlauf zu Aloe Vera Gel sowie Flüssig- und Pulverkonzentrat verarbeitet. Für Diamond Care wird die Aloe als Flüssigkonzentrat eingesetzt, es wird aufgesprüht. Somit erhalten alle Körner des Streu's automatisch eine „Pflege-Dusche“. Aloe Vera ist bekannt für ihre Pflege-Wirkung. Katzen haben sensible Pfötchen. Tierärzte raten dazu sie mit speziellen Produkten gut zu pflegen, um sie so zu schützen.\nInverkehrbringer\nH. von Gimborn GmbH, Albert-Einstein-Str. 6, 46446 Emmerich am Rhein",4.6,398,True,10x
66bef411a9267700a3bd018e,1241925,fressnapf,Biokat's Diamond Care fresh 2x10 l,Biokat's,17.99,17.99,EUR,Heimat > Katze > Hygiene & Pflege > Katzenstreu > Biokat's Diamond Care fresh 2x10 l,https://www.fressnapf.at/p/biokats-diamond-care-fresh-2x10-l-1241925/,"Biokat's\nArt.Nr.: 1241925\nFeine Katzenstreu mit Babypuderduft mit einem Booster für hochwirksame Geruchsbindung & Saugfähigkeit.\nDas Biokat's Diamond Care fresh besitzt eine hochwirksame Geruchbindung und Saugfähigkeit.\nAktivkohle als Geruchsbindungsmittel\nDie Aktivkohle ist ein hochporöser Kohlenstoffkörper mit einer großen inneren Oberfläche. Der Ursprung dieser Aktivkohle sind Kokosnussschalen und ein nachwachsender Rohstoff. Durch die ‚van-der-Waals‘schen Kräfte‘ werden Geruchsstoffe an der Aktivkohle rein physikalisch gebunden. Aktivkohle dient schon sehr lange als Geruchsfilter, z. B. in Küchen in Abzugshauben oder Kühlschränken. Aber auch in Schuheinlagen oder bei Filteranlagen für den KFZ-Innenraum. Klimageräte funktionieren ebenfalls mit einer Aktivkohlestufe, um Außengerüche (Abgase, Schwefeldioxid etc.) aus der Zuluft zu entfernen.\nAloe Vera als sanfte Pflege\nAloe Vera, die im Diamond Care eingesetzt wird und fü eine sanfte Pflege sorgt wird ausschließlich\naus den Blättern der Aloe barbadensis Miller gewonnen. Direkt nach der Ernte gelangen die reifen Aloe Vera Blätter von den Plantagen in die Manufaktur, so dass die wertvollen Bestandteile des Rohstoffes voll erhalten bleiben. In der Manufaktur werden die Aloe Vera Blätter mit Wasser gewaschen und anschließend per Hand geschält. Die Blattfilets werden im weiteren Verlauf zu Aloe Vera Gel sowie Flüssig- und Pulverkonzentrat verarbeitet. Für Diamond Care wird die Aloe als Flüssigkonzentrat eingesetzt, es wird aufgesprüht. Somit erhalten alle Körner des Streu's automatisch eine „Pflege-Dusche“. Aloe Vera ist bekannt für ihre Pflege-Wirkung. Katzen haben sensible Pfötchen. Tierärzte raten dazu sie mit speziellen Produkten gut zu pflegen, um sie so zu schützen.\nInverkehrbringer\nH. von Gimborn GmbH, Albert-Einstein-Str. 6, 46446 Emmerich am Rhein",4.6,398,True,10x
66bef411a9267700a3bd018f,1331742,fressnapf,Biokat's Diamond Care fresh 4x10 l,Biokat's,33.99,33.99,EUR,Heimat > Katze > Hygiene & Pflege > Katzenstreu > Biokat's Diamond Care fresh 4x10 l,https://www.fressnapf.at/p/biokats-diamond-care-fresh-4x10-l-1331742/,"Biokat's\nArt.Nr.: 1331742\nFeine Katzenstreu mit Babypuderduft mit einem Booster für hochwirksame Geruchsbindung & Saugfähigkeit.\nDas Biokat's Diamond Care fresh besitzt eine hochwirksame Geruchbindung und Saugfähigkeit.\nAktivkohle als Geruchsbindungsmittel\nDie Aktivkohle ist ein hochporöser Kohlenstoffkörper mit einer großen inneren Oberfläche. Der Ursprung dieser Aktivkohle sind Kokosnussschalen und ein nachwachsender Rohstoff. Durch die ‚van-der-Waals‘schen Kräfte‘ werden Geruchsstoffe an der Aktivkohle rein physikalisch gebunden. Aktivkohle dient schon sehr lange als Geruchsfilter, z. B. in Küchen in Abzugshauben oder Kühlschränken. Aber auch in Schuheinlagen oder bei Filteranlagen für den KFZ-Innenraum. Klimageräte funktionieren ebenfalls mit einer Aktivkohlestufe, um Außengerüche (Abgase, Schwefeldioxid etc.) aus der Zuluft zu entfernen.\nAloe Vera als sanfte Pflege\nAloe Vera, die im Diamond Care eingesetzt wird und fü eine sanfte Pflege sorgt wird ausschließlich\naus den Blättern der Aloe barbadensis Miller gewonnen. Direkt nach der Ernte gelangen die reifen Aloe Vera Blätter von den Plantagen in die Manufaktur, so dass die wertvollen Bestandteile des Rohstoffes voll erhalten bleiben. In der Manufaktur werden die Aloe Vera Blätter mit Wasser gewaschen und anschließend per Hand geschält. Die Blattfilets werden im weiteren Verlauf zu Aloe Vera Gel sowie Flüssig- und Pulverkonzentrat verarbeitet. Für Diamond Care wird die Aloe als Flüssigkonzentrat eingesetzt, es wird aufgesprüht. Somit erhalten alle Körner des Streu's automatisch eine „Pflege-Dusche“. Aloe Vera ist bekannt für ihre Pflege-Wirkung. Katzen haben sensible Pfötchen. Tierärzte raten dazu sie mit speziellen Produkten gut zu pflegen, um sie so zu schützen.\nInverkehrbringer\nH. von Gimborn GmbH, Albert-Einstein-Str. 6, 46446 Emmerich am Rhein",4.6,398,True,10x
66bef411a9267700a3bd0190,1241959,fressnapf,AniOne Toilettenvorleger 37 cm. 45 cm,AniOne,8.99,8.99,EUR,"Heimat > Katze > Hygiene & Pflege > Toilettenzubehör > AniOne Toilettenvorleger 37 cm, 45 cm",https://www.fressnapf.at/p/anione-toilettenvorleger-37-cm-45-cm-1241959/,"AniOne\nArt.Nr.: 1241959\nDer Toilettenvorleger von AniOne sorgt für mehr Sauberkeit rund um die Katzentoilette.\nBeim Ausstieg aus der Katzentoilette kann sich Katzenstreu zwischen den Pfoten setzen. Ihre Katze trägt dann die kleinen Körner durch die ganze Wohnung.\nAniOne bietet für jede Gelegenheit das passende Zubehör – jedes Produkt ist optimal auf die Bedürfnisse der Tiere zugeschnitten.\nDer Toilettenvorleger von AniOne befreit sanft und schonend die Pfoten von Katzenstreu und und ist somit der perfekte Pfotenabtreter. Natürlich ist der Vorleger für jede Katzentoilette geeignet und zudem rutschfest.\nErhältlich in verschiedenen Größen:\nca. 37x45cm\nca. 40x60cm\nInverkehrbringer\nMultiFit Tiernahrungs GmbH, Westpreußenstr. 32-38, 47809 Krefeld",4.44,142,True,10x
66bef411a9267700a3bd0191,1241230,fressnapf,GOURMET Crystal Soup 32x40g Huhn & Gemüse,GOURMET,23.99,23.99,EUR,Heimat > Katze > Katzenfutter > Nassfutter > GOURMET Crystal Soup 32x40g Huhn & Gemüse,https://www.fressnapf.at/p/gourmet-crystal-soup-32x40g-huhn--gemuese-1241230/,"GOURMET\nArt.Nr.: 1241230\nGourmet Crystal Soup regt die Sinne Ihrer Katze an – mit hochwertigen Zutaten in einer raffinierten Brühe.\nGourmet Crystal Soup bietet eine Vielzahl köstlicher Brühen für ein einzigartiges Genusserlebnis, das Ihre Katze lieben wird.\nVoller naturbelassener Zutaten, wie echte erkennbare Stückchen aus Huhn, Fisch oder Meeresfrüchten, ist Gourmet Crystal Soup ein köstliches Geschmackserlebnis, das Ihre Katze genüsslich schnurren lässt. Serviert in einer köstlichen Brühe.\nDie Vorteile im Überblick:\nErgänzungsfutter\nAus hochwertigen Zutaten hergestellt\nBrühen in vielen delikaten Geschmacksrichtungen\nIm praktischen Frischebeutel immer frisch servierbar\nErgänzungsfuttermittel für ausgewachsene Katzen. Weitere Informationen erhalten Sie hier: www.purina.de\nInverkehrbringer\nNestlé Purina Petcare Deutschland GmbH, Albert-Latz-Str. 6, 53879 Euskirchen",4.75,768,True,10x
66bef411a9267700a3bd0192,1241241,fressnapf,GOURMET Crystal Soup 32x40g Thunfisch & Garnelen,GOURMET,23.99,23.99,EUR,Heimat > Katze > Katzenfutter > Nassfutter > GOURMET Crystal Soup 32x40g Thunfisch & Garnelen,https://www.fressnapf.at/p/gourmet-crystal-soup-32x40g-thunfisch--garnelen-1241241/,"GOURMET\nArt.Nr.: 1241241\nGourmet Crystal Soup regt die Sinne Ihrer Katze an – mit hochwertigen Zutaten in einer raffinierten Brühe.\nGourmet Crystal Soup bietet eine Vielzahl köstlicher Brühen für ein einzigartiges Genusserlebnis, das Ihre Katze lieben wird.\nVoller naturbelassener Zutaten, wie echte erkennbare Stückchen aus Huhn, Fisch oder Meeresfrüchten, ist Gourmet Crystal Soup ein köstliches Geschmackserlebnis, das Ihre Katze genüsslich schnurren lässt. Serviert in einer köstlichen Brühe.\nDie Vorteile im Überblick:\nErgänzungsfutter\nAus hochwertigen Zutaten hergestellt\nBrühen in vielen delikaten Geschmacksrichtungen\nIm praktischen Frischebeutel immer frisch servierbar\nErgänzungsfuttermittel für ausgewachsene Katzen. Weitere Informationen erhalten Sie hier: www.purina.de\nInverkehrbringer\nNestlé Purina Petcare Deutschland GmbH, Albert-Latz-Str. 6, 53879 Euskirchen",4.64,2702,True,10x
66bef411a9267700a3bd0193,1083996002,fressnapf,REAL NATURE WILDERNESS True Country Adult Huhn mit Fisch 1 kg,REAL NATURE,14.49,14.49,EUR,Heimat > Hund > Hundefutter > Hundetrockenfutter > REAL NATURE WILDERNESS True Country Adult Huhn mit Fisch 1 kg,https://www.fressnapf.at/p/real-nature-wilderness-true-country-adult-huhn-mit-fisch-1-kg-1083996002/,"REAL NATURE\nArt.Nr.: 1083996002\n*Schmeckt nicht? Mit unserer\nAkzeptanzgarantie\nbekommst du dein Geld zurück und suchst dir einfach ein anderes Futter aus.\nREAL NATURE WILDERNESS True Country Adult ist optimal auf den Bedarf von Hunden aller Rassen und Größen ab dem 11.-24. Lebensmonat (je nach Hundegröße) abgestimmt.\nREAL NATURE WILDERNESS folgt der Natur Ihres Hundes. REAL NATURE WILDERNESS orientiert sich an der Ernährung des Wolfes als Vorfahren des Hundes und ermöglicht es Ihnen, Ihr Tier so artgerecht wie möglich zu ernähren.\nREAL NATURE WILDERNESS besteht aus 70% hochwertigem Huhn und Fisch, 30% Obst, Gemüse und wertvollen Zutaten und 0% Getreidezugabe. Enthält Kartoffeln und frisches Huhn als hochwertige tierische Proteinquelle. Wertvolles Lachsöl ergänzt die REAL NATURE WILDERNESS Rezepturen sinnvoll, indem es essentielle Omega-3-Fettsäuren liefert. REAL NATURE WILDERNESS bietet natürliche Zutaten1, ernährungsphysiologisch sinnvoll mit wertvollen Vitaminen und Mineralstoffen ergänzt - garantiert ohne Zusatz von künstlichen Konservierungsmitteln, Farb- und Aromastoffen oder Emulgatoren.\nDer Anteil von tierischen Bestandteilen in der REAL NATURE WILDERNESS Trockennahrung liegt bei 70%. Tierisches Protein ist sehr wertvoll für Ihren Hund, da es der Hauptlieferant von biologisch gut verwertbaren Aminosäuren ist. Das heißt, Ihr Hund erhält besonders viel von dem, was sein Körper braucht. Lachsöl versorgt ihn zusätzlich mit wertvollen Omega-3-Fettsäuren. Statt Getreide sind Kartoffeln als gut verträgliche Kohlenhydratquelle enthalten.\nDie Vorteile im Überblick:\n70 % hochwertiges Huhn und Fisch\n30 % Obst, Gemüse und wertvolle Zutaten\n0 % Getreide –  Kartoffeln sind die einzige Kohlenhydratquelle\nartgerechte Ernährung nach dem Vorbild des Wolfes\nmit einem hohen Fleischanteil\n100 % natürlich1 – ohne Konservierungs-, Aroma- und Farbstoffe\nangepasst an die Lebensphasen des Hundes (Junior / Adult)\nREAL NATURE WILDERNESS True Country Adult Huhn mit Fisch ist ein Alleinfuttermittel für ausgewachsene Hunde aller Rassen und Größen ab dem 11.-24. Lebensmonat (je nach Hundegröße). Weitere Informationen erhalten Sie hier: info@fressnapf.com\n1 in den ausgewählten Rohstoffen.\nMöchtest du mehr über die Produkte von REAL NATURE für Hunde erfahren? Tauche\nhier\nin die Welt der Produktvielfalt von REAL NATURE ein!\nREAL NATURE WILDERNESS True Country Adult Huhn mit Fisch ist ein Alleinfuttermittel für ausgewachsene Hunde aller Rassen und Größen ab dem 11.-24. Lebensmonat (je nach Hundegröße). Weitere Informationen erhalten Sie hier: info@fressnapf.com\nMehr Produktinfos\nInverkehrbringer\nMultiFit Tiernahrungs GmbH, Westpreußenstr. 32-38, 47809 Krefeld",4.79,293,True,10x
66bef411a9267700a3bd0194,1241960,fressnapf,AniOne Toilettenvorleger 45 cm. 60 cm,AniOne,11.99,11.99,EUR,"Heimat > Katze > Hygiene & Pflege > Toilettenzubehör > AniOne Toilettenvorleger 45 cm, 60 cm",https://www.fressnapf.at/p/anione-toilettenvorleger-45-cm-60-cm-1241960/,"AniOne\nArt.Nr.: 1241960\nDer Toilettenvorleger von AniOne sorgt für mehr Sauberkeit rund um die Katzentoilette.\nBeim Ausstieg aus der Katzentoilette kann sich Katzenstreu zwischen den Pfoten setzen. Ihre Katze trägt dann die kleinen Körner durch die ganze Wohnung.\nAniOne bietet für jede Gelegenheit das passende Zubehör – jedes Produkt ist optimal auf die Bedürfnisse der Tiere zugeschnitten.\nDer Toilettenvorleger von AniOne befreit sanft und schonend die Pfoten von Katzenstreu und und ist somit der perfekte Pfotenabtreter. Natürlich ist der Vorleger für jede Katzentoilette geeignet und zudem rutschfest.\nErhältlich in verschiedenen Größen:\nca. 37x45cm\nca. 40x60cm\nInverkehrbringer\nMultiFit Tiernahrungs GmbH, Westpreußenstr. 32-38, 47809 Krefeld",4.44,142,True,9x
66bef411a9267700a3bd0195,1241903,fressnapf,Biokat's Diamond Care Classic 10 l,Biokat's,10.49,10.49,EUR,Heimat > Katze > Hygiene & Pflege > Katzenstreu > Biokat's Diamond Care Classic 10 l,https://www.fressnapf.at/p/biokats-diamond-care-classic-10-l-1241903/,"Biokat's\nArt.Nr.: 1241903\nFeines Katzenstreu mit einem Booster für hochwirksame Geruchsbindung & Saugfähigkeit inkl. Pflege-Faktor\nDas Biokat's Diamond Care classic besitzt eine hochwirksame Geruchbindung und Saugfähigkeit.\nAktivkohle als Geruchsbindungsmittel\nDie Aktivkohle ist ein hochporöser Kohlenstoffkörper mit einer großen inneren Oberfläche. Der Ursprung dieser Aktivkohle sind Kokosnussschalen und ein nachwachsender Rohstoff. Durch die ‚van-der-Waals‘schen Kräfte‘ werden Geruchsstoffe an der Aktivkohle rein physikalisch gebunden. Aktivkohle dient schon sehr lange als Geruchsfilter, z. B. in Küchen in Abzugshauben oder Kühlschränken. Aber auch in Schuheinlagen oder bei Filteranlagen für den KFZ-Innenraum. Klimageräte funktionieren ebenfalls mit einer Aktivkohlestufe, um Außengerüche (Abgase, Schwefeldioxid etc.) aus der Zuluft zu entfernen.\nAloe Vera als sanfte Pflege\nAloe Vera, die im Diamond Care eingesetzt wird und fü eine sanfte Pflege sorgt wird ausschließlich aus den Blättern der Aloe barbadensis Miller gewonnen. Direkt nach der Ernte gelangen die reifen Aloe Vera Blätter von den Plantagen in die Manufaktur, so dass die wertvollen Bestandteile des Rohstoffes voll erhalten bleiben. In der Manufaktur werden die Aloe Vera Blätter mit Wasser gewaschen und anschließend per Hand geschält. Die Blattfilets werden im weiteren Verlauf zu Aloe Vera Gel sowie Flüssig- und Pulverkonzentrat verarbeitet. Für Diamond Care wird die Aloe als Flüssigkonzentrat eingesetzt, es wird aufgesprüht. Somit erhalten alle Körner des Streu's automatisch eine „Pflege-Dusche“.  Aloe Vera ist bekannt für ihre Pflege-Wirkung. Katzen haben sensible Pfötchen. Tierärzte raten dazu sie mit speziellen Produkten gut zu pflegen, um sie so zu schützen.\nAnwendungsempfehlung:\nFüllen Sie die Katzentoilette mindestens 5cm hoch mit Katzenstreu. Nehmen Sie täglich die festen Ausscheidungen und Klümpchen heraus und erneuern Sie die entnommene Menge. Wechseln Sie die Streu in regelmäßigen Abständen, z.B. alle 2 Wochen, komplett aus.\nTipp:\nWenn Sie eine Fußbodenheizung besitzen, legen Sie bitte ein isolierendes Material unter die Katzentoilette. Dadurch verhindern Sie Gerüche, die durch das Erwärmen der in den Körnchen gebundenen Flüssigkeiten entstehen könnten.\nInverkehrbringer\nH. von Gimborn GmbH, Albert-Einstein-Str. 6, 46446 Emmerich am Rhein",4.56,154,True,10x
